participant,trialnum,text,RT,
A0305,1,hanger chutney deep chosen,4.09654593468,
A0305,2,dope season bet toad,4.91710281372,
A0305,3,spotless notepad soon gotten,4.84532785416,
A0305,4,van singer catcall tightly,5.50433492661,
A0305,5,beaten vote sadden raise,4.1051402092,
A0305,6,sudden rude kidney tease,4.57106494904,
A0305,7,toad badness chutney deep,4.73965811729,
A0305,8,footnote soon season tightly,5.02887988091,
A0305,9,rate spotless dope notepad,5.22841119766,
A0305,10,sun catcall vote gotten,4.62955594063,
A0305,11,singer beaten bison sadden,5.12136602402,
A0305,12,chutney sudden rude kidney,4.40383410454,
A0305,13,rake badness dope toad,4.08505415916,
A0305,14,tuck footnote gong season,4.72456598282,
A0305,15,duck bison spotless vote,5.04000091553,
A0305,16,slightly sun singer duck,4.81273007393,
A0305,17,suitcase rate beaten catcall,5.1196269989,
A0305,18,fatten gong sudden rude,4.29415917397,
A0305,19,hidden rake badness toad,5.13821291924,
A0305,20,kidnap dope tuck footnote,3.96922898293,
A0305,21,soon catnap spotless bison,4.10789585114,
A0305,22,basin slightly sun catcall,4.57814002037,
A0305,23,fin suitcase rate beaten,4.35474705696,
A0305,24,fight fatten gong sudden,4.12095189095,
A0305,25,bang hidden rake badness,4.67157697678,
A0305,26,rope kidnap tuck footnote,4.04953289032,
A0305,27,top catnap duck bison,4.4913790226,
A0305,28,dock basin slightly sun,9.64345097542,
A0305,29,suitcase thoughtless rate fin,7.49418497086,
A0305,30,fight hotpot fatten gong,4.67398118973,
A0305,31,button bang hidden rake,3.88424992561,
A0305,32,deaden kidnap rope tuck,3.88054203987,
A0305,33,Sydney top catnap duck,4.39513587952,
A0305,34,basin fitness dock slightly,4.00790500641,
A0305,35,chosen fight fin hotpot,3.85239911079,
A0305,36,suitcase thoughtless fatten van,3.64147400856,
A0305,37,bet button bang hidden,3.52780604362,
A0305,38,hanger deaden rope kidnap,3.64299583435,
A0305,39,Sydney catnap top raise,3.92943000793,
A0305,40,tease fitness dock basin,4.05997085571,
A0305,41,deep chosen thoughtless fin,3.82280683517,
A0305,42,tightly van hotpot fight,3.96028709412,
A0305,43,notepad raise button bang,4.28991913795,
A0305,44,rope hanger deaden gotten,4.10418701172,
A0305,45,sadden bet Sydney top,3.6502969265,
A0305,46,kidney tease fitness dock,4.13245201111,
A0305,47,chutney deep thoughtless chosen,3.93445181847,
A0305,48,season van tightly hotpot,4.40394997597,
A0305,49,singer bet soon button,3.66108012199,
A0305,50,vote gotten hanger deaden,3.89215493202,
A0305,51,notepad sadden kidney raise,4.05300092697,
A0305,52,rude Sydney tease fitness,4.17912793159,
